# ===========================================================================
#
#                            PUBLIC DOMAIN NOTICE
#               National Center for Biotechnology Information
#
#  This software/database is a "United States Government Work" under the
#  terms of the United States Copyright Act.  It was written as part of
#  the author's official duties as a United States Government employee and
#  thus cannot be copyrighted.  This software/database is freely available
#  to the public for use. The National Library of Medicine and the U.S.
#  Government have not placed any restriction on its use or reproduction.
#
#  Although all reasonable efforts have been taken to ensure the accuracy
#  and reliability of the software and data, the NLM and the U.S.
#  Government do not and cannot warrant the performance or results that
#  may be obtained by using this software or data. The NLM and the U.S.
#  Government disclaim all warranties, express or implied, including
#  warranties of performance, merchantability or fitness for any particular
#  purpose.
#
#  For daily update, we screen the search results of this PubMed query:
#  "coronavirus"[All Fields] OR "ncov"[All Fields] OR "cov"[All Fields] OR
#  "2019-nCoV"[All Fields] OR "COVID-19"[All Fields] OR "SARS-CoV-2"[All Fields].
#  Relevant articles are identified and curated with assistance from an automated
#  machine-learning and text-classification algorithm.
#
#  Please cite the authors in any work or product based on this material :
#
#  Chen Q, Allot A, & Lu Z. (2020) Keep up with the latest coronavirus research, Nature 579:193
#
# ==========================================================================
pmid	title	journal
32474039	Applicability of the CURB-65 pneumonia severity score for outpatient treatment of COVID-19.	J Infect
32474038	An Early Warning Score to predict ICU admission in COVID-19 positive patients.	J Infect
32474037	Improved sensitivity using a dual target, E and RdRp assay for the diagnosis of SARS-CoV-2 infection: Experience at a large NHS Foundation Trust in the UK.	J Infect
32474036	Qualitative serology in patients recovered from SARS CoV 2 infection.	J Infect
32474035	COVID-19: Evidence of the Eye.	J Infect
32474034	Chronic conventional disease-modifying anti-rheumatic drugs masking severe SARS-CoV-2 manifestations in an elderly rheumatic patient.	J Infect
32474033	Markers of liver injury and clinical outcomes in COVID-19 patients: A systematic review and meta-analysis.	J Infect
32474032	COVID-19 patients with hypertension have more severity condition, and ACEI/ARB treatment have no infulence on the clinical severity and outcome.	J Infect
32474031	Experience of short-term hydroxychloroquine and azithromycin in COVID-19 patients and effect on QTc trend.	J Infect
32474026	Lopinavir/ritonavir use in Covid-19 infection: is it completely non-beneficial?	J Microbiol Immunol Infect
32474025	Bonuses and pitfalls of a paperless drive-through screening and COVID-19: A field report.	J Microbiol Immunol Infect
32474011	How to optimize the management of gestational trophoblastic disease during the COVID era?	Am J Obstet Gynecol
32474009	COVID-19: Transmission, Prevention, and Potential Therapeutic Opportunities.	Clin Chim Acta
32473994	Crushing lopinavir-ritonavir tablets may decrease the efficacy of therapy in COVID-19 patients.	Travel Med Infect Dis
32473977	Unfolding SARS-CoV-2 viral genome to understand its gene expression regulation.	Infect Genet Evol
32473976	SARS-CoV-2 and COVID-19: A genetic, epidemiological, and evolutionary perspective.	Infect Genet Evol
32473971	Are there any association between COVID-19 severity and immunosuppressive therapy?	Immunol Lett
32473964	Towards individualized and optimalized positioning of non-ventilated COVID-19 patients: Putting the affected parts of the lung(s) on top?	Diabetes Metab
32473953	Diagnostic performance of 7 rapid IgG/IgM antibody tests and the Euroimmun IgA/IgG ELISA in COVID-19 patients.	Clin Microbiol Infect
32473952	SARS-CoV-2: The viral shedding vs infectivity dilemma.	Infect Dis Health
32473949	Do no harm: reaffirming the value of evidence and equipoise while minimizing cognitive bias in the COVID-19 era.	Chest
32473948	Key highlights from the Canadian Thoracic Society's Position Statement on the Optimization of Asthma Management during the COVID-19 Pandemic.	Chest
32473945	COVID-19, hypercoagulation and what it could mean for patients with psychotic disorders.	Brain Behav Immun
32473937	The Good, the Bad, and the Ugly of the COVID-19 Pandemic in a Urology Residency Program in Singapore.	Urology
32473934	Ensuring care for clozapine-treated schizophrenia patients during the COVID-19 pandemic.	Schizophr Res
32473931	The impact of COVID-19 on individuals living with serious mental illness.	Schizophr Res
32473922	Response to the letter, "The cardiovascular burden of congenital heart disease - not only in times of COVID-19".	Int J Cardiol
32473921	Hydroxychloroquine for Covid-19 - When the pandemic runs faster than research.	Int J Cardiol
32473912	Transcatheter mitral valve repair with MitraClip for severe mitral regurgitation and cardiogenic shock during the COVID-19 pandemic.	Cardiovasc Revasc Med
32473905	Challenges of diabetes care management in developing countries with a high incidence of COVID-19: A brief report.	Diabetes Metab Syndr
32473904	Reply to the letter of Mahajan and Gaur in response to the article: Comorbidities in COVID-19: Outcomes in hypertensive cohort and controversies with renin angiotensin system blockers (Singh et al.).	Diabetes Metab Syndr
32473903	Does poor glucose control increase the severity and mortality in patients with diabetes and COVID-19?	Diabetes Metab Syndr
32473902	Letter in response to the article: Comorbidities in COVID-19: Outcomes in hypertensive cohort and controversies with renin angiotensin system blockers (Singh et al.).	Diabetes Metab Syndr
32473896	Coronavirus Disease 2019 (COVID-19): Radiology Department Financial Impact and Planning for Post-COVID Recovery.	J Am Coll Radiol
32473895	Private Equity-Backed Hospital Investments and the Impact of the Coronavirus Disease 2019 (COVID-19) Epidemic.	J Am Coll Radiol
32473879	POPCoRN One-Pagers: Educational Materials for Pediatric Providers Caring For Adults.	Acad Pediatr
32473875	Intellectual and developmental disability and COVID-19 case-fatality trends: TriNetX analysis.	Disabil Health J
32473864	Keys for analysis of diagnostic and serologic tests for CoV-2.	Eur Ann Otorhinolaryngol Head Neck Dis
32473856	Webinars in plastic and reconstructive surgery training - a review of the current landscape during the COVID-19 pandemic.	J Plast Reconstr Aesthet Surg
32473831	Small bowel ischemia and SARS-CoV-2 infection: an underdiagnosed distinct clinical entity.	Surgery
32473812	Chloroquine and hydroxychloroquine in the management of COVID-19: Much kerfuffle but little evidence.	Therapie
32473784	Teaching Remotely: Educating Radiology Trainees at the Workstation in the COVID-19 Era.	Acad Radiol
32473781	Optimising Secondary Prevention and Cardiac Rehabilitation for Atherosclerotic Cardiovascular Disease During the COVID-19 Pandemic: A Position Statement from the Cardiac Society of Australia and New Zealand (CSANZ).	Heart Lung Circ
32473756	Neuroleptic malignant syndrome in patients with COVID-19.	Am J Emerg Med
32473727	Protecting staff and patients during airway management in the COVID-19 pandemic: are intubation boxes safe?	Br J Anaesth
32473682	COVID-19 mortality in patients with cancer on chemotherapy or other anticancer treatments: a prospective cohort study.	Lancet
32473681	Clinical impact of COVID-19 on patients with cancer (CCC19): a cohort study.	Lancet
32473680	The starting line for COVID-19 vaccine development.	Lancet
32473669	COVID-19 strains remote regions of Peru.	Lancet
32473668	Fears of "highly catastrophic" COVID-19 spread in Yemen.	Lancet
32473667	Offline: After COVID-19-is an "alternate society" possible?	Lancet
32473665	COVID-19 in Africa: no room for complacency.	Lancet
32473664	How might the NHS protect the mental health of health-care workers after the COVID-19 crisis?	Lancet Psychiatry
32473663	Ethnicity and COVID-19 in children with comorbidities.	Lancet Child Adolesc Health
32473662	Implication of SARS-CoV-2 evolution in the sensitivity of RT-qPCR diagnostic assays.	Lancet Infect Dis
32473661	COVID-19 and the difficulty of inferring epidemiological parameters from clinical data.	Lancet Infect Dis
32473660	COVID-19 and the difficulty of inferring epidemiological parameters from clinical data - Authors' reply.	Lancet Infect Dis
32473658	COVID-19 in people with HIV.	Lancet HIV
32473657	Description of COVID-19 in HIV-infected individuals: a single-centre, prospective cohort.	Lancet HIV
32473642	Ivermectin, a new candidate therapeutic against SARS-CoV-2/COVID-19.	Ann Clin Microbiol Antimicrob
32473607	Acute Liver Injury in COVID-19: Prevalence and Association with Clinical Outcomes in a Large US Cohort.	Hepatology
32473603	Maternal mortality from COVID-19 in Mexico.	Int J Gynaecol Obstet
32473600	Mechanism of baricitinib supports artificial intelligence-predicted testing in COVID-19 patients.	EMBO Mol Med
32473596	Pharmacological Agents Targeting Thromboinflammation in COVID-19: Review and Implications for Future Research.	Thromb Haemost
32473576	Knowledge regarding COVID-19 pandemic in patients with multiple sclerosis (MS): A report from Iran.	Mult Scler Relat Disord
32473542	Pausing cancer screening during the severe acute respiratory syndrome coronavirus 2pandemic: Should we revisit the recommendations?	Eur J Cancer
32473540	Chest-X-ray is a mainstay for follow-up in critically ill patients with covid-19 induced pneumonia.	Eur J Radiol
32473537	Why all COVID-19 hospitals should have mental health professionals: The importance of mental health in a worldwide crisis!	Asian J Psychiatr
32473509	Zinc Iodide in combination with Dimethyl Sulfoxide for treatment of SARS-CoV-2 and other viral infections.	Med Hypotheses
32473504	Strategy of using personal protective equipment during aerosol generating medical procedures with COVID-19.	J Clin Anesth
32473503	Early application of prone position for management of Covid-19 patients.	J Clin Anesth
32473502	Preparedness and disinfection of anesthetic equipment in COVID-19.	J Clin Anesth
32473501	Respirators used by healthcare workers due to the COVID-19 outbreak increase end-tidal carbon dioxide and fractional inspired carbon dioxide pressure.	J Clin Anesth
32473497	Increasing global awareness of timely COVID-19 healthcare guidelines through FPV training tutorials: Portable public health crises teaching method.	Nurse Educ Today
32473495	COVID-19 and hypercoagulability in the outpatient setting.	Thromb Res
32473465	Poverty, inequality and COVID-19: the forgotten vulnerable.	Public Health
32473458	The need for fully bio-based facemasks to counter coronavirus outbreaks: A perspective.	Sci Total Environ
32473452	Introduction to Modern Climate Change. Andrew E. Dessler: Cambridge University Press, 2011, 252 pp, ISBN-10: 0521173159.	Sci Total Environ
32473418	Managing patients with rheumatic diseases during the COVID-19 pandemic: The French Society of Rheumatology answers to most frequently asked questions up to May 2020.	Joint Bone Spine
32473399	Biophotonic telemedicine for disease diagnosis and monitoring during pandemics: overcoming COVID-19 and shaping the future of healthcare.	Photodiagnosis Photodyn Ther
32473390	A review of South Indian medicinal plant has the ability to combat against deadly viruses along with COVID-19?	Microb Pathog
32473354	Racial disparity in Covid-19 mortality rates - A plausible explanation.	Clin Immunol
32473352	Understanding the B and T cell epitopes of spike protein of severe acute respiratory syndrome coronavirus-2: A computational way to predict the immunogens.	Infect Genet Evol
32473312	Efficacy of face mask in preventing respiratory virus transmission: A systematic review and meta-analysis.	Travel Med Infect Dis
32473311	Angiotensin receptor blockers for the treatment of covid-19 and its comorbidities.	Pharmacol Res
32473310	Discovery of the FDA-approved drugs bexarotene, cetilistat, diiodohydroxyquinoline, and abiraterone as potential COVID-19 treatments with a robust two-tier screening system.	Pharmacol Res
32473304	Abdominal Aortic Thrombosis Complicating COVID-19 Pneumonia.	Ann Vasc Surg
32473303	Inferior vena cava filter in a patient with COVID-19 pneumonia to prevent a massive pulmonary embolism.	Ann Vasc Surg
32473301	Surveillance for COVID-19 in cardiac inpatients: containing COVID-19 in a specialised cardiac centre.	Can J Cardiol
32473263	Prevention is life- and cost-saving.	Prev Med
32473239	A Letter to the Editor on "World Health Organization declares global emergency: A review of the 2019 novel Coronavirus (COVID-19)".	Int J Surg
32473236	Ethnicity profiles of COVID-19 admissions and outcomes.	J Infect
32473235	Co-infections in people with COVID-19: a systematic review and meta-analysis.	J Infect
32473233	Derivation and validation of a scoring system to assess pre-test probability of being COVID-19 positive.	J Infect
32473232	Strengthening early testing and surveillance of COVID-19 to enhance identification of asymptomatic patients.	J Infect
32473231	Cardiovascular disease as a risk factor of disease progression in COVID-19: The corrected effect size and forest plot.	J Infect
32473230	Early administration of ritonavir-boosted lopinavir could prevent severe COVID-19.	J Infect
32473229	Follow-up study on pulmonary function and radiological changes in critically ill patients with COVID-19.	J Infect
32473197	Pediatric Modification of the Medically Necessary, Time-Sensitive Scoring System for Operating Room Procedure Prioritization During the COVID-19 Pandemic.	J Am Coll Surg
32473194	Liver tests abnormalities in COVID-19: trick or treat?	J Hepatol
32473193	Single cell RNA sequencing analysis did not predict hepatocyte infection by SARS-CoV-2.	J Hepatol
32473182	Impact of SARS-CoV2 (Covid-19) on dental practices: Economic analysis.	J Dent
32473179	Evidence for decontamination of single-use filtering facepiece respirators.	J Hosp Infect
32473173	What Counts as "Good" Clinical Communication in the Covid-19 Era and Beyond? Ditching Checklists for Juggling Communication Goals.	Chest
32473172	COVID-19 infection among medical staff in Wuhan: A retrospective study from a single-center.	Chest
32473161	On the benefits of flattening the curve: A perspective.	Math Biosci
32473151	Laboratory Abnormalities in Children with Mild and Severe Coronavirus Disease 2019 (COVID-19): a pooled analysis and review.	Clin Biochem
32473139	Death threats after a trial on chloroquine for COVID-19.	Lancet Infect Dis
32473138	Obstacles to COVID-19 control in east Africa.	Lancet Infect Dis
32473137	COVID-19 lockdown of Roma settlements in Slovakia.	Lancet Infect Dis
32473127	Targets of T Cell Responses to SARS-CoV-2 Coronavirus in Humans with COVID-19 Disease and Unexposed Individuals.	Cell
32473125	Increased cardiovascular mortality in African Americans with COVID-19.	Lancet Respir Med
32473124	Pulmonary and cardiac pathology in African American patients with COVID-19: an autopsy series from New Orleans.	Lancet Respir Med
32473123	Small droplet aerosols in poorly ventilated spaces and SARS-CoV-2 transmission.	Lancet Respir Med
32473115	Reply to: Letter to the Editor: Screening All Pregnant Women Admitted to Labor and Delivery for the Virus Responsible for COVID-19.	Am J Obstet Gynecol
32473114	Letter to the Editor: Screening All Pregnant Women Admitted To Labor And Delivery For The Virus Responsible For COVID-19.	Am J Obstet Gynecol
32473113	Out-of-hospital cardiac arrest during the COVID-19 pandemic in Paris, France: a population-based, observational study.	Lancet Public Health
32473112	COVID-19: long-term effects on the community response to cardiac arrest?	Lancet Public Health
32473109	Treatment of COVID-19 Patients with Convalescent Plasma.	Am J Pathol
32473108	Rescheduling Nonurgent Care in Radiology: Implementation During the Coronavirus Disease 2019 (COVID-19) Pandemic.	J Am Coll Radiol
32473107	Coronavirus Disease 2019 (COVID-19) Precautions: What the MRI Suite Should Know.	J Am Coll Radiol
32473100	COVID-19 testing delays and pathology services in the UK.	Lancet
32473099	Excess mortality in men and women in Massachusetts during the COVID-19 pandemic.	Lancet
32473098	A view from UK public health registrars on the challenges of COVID-19.	Lancet
32473097	The COVID-19 MS Coalition-accelerating diagnostics, prognostics, and treatment.	Lancet
32473085	SARS-COV-2 infection presenting as ST-elevationmyocardial infarction.	Catheter Cardiovasc Interv
32473082	Long-term surveillance of bat coronaviruses in Korea: Diversity and distribution pattern.	Transbound Emerg Dis
32473078	Impact of Covid 19 pandemic on obsessive compulsive and related disorder patients- Psychodermatological perspectives.	Dermatol Ther
32473074	Coronavirus confinement: a chance to learn on oral cancer. The Spanish experience.	Oral Dis
32473070	Treatment of COVID-19 with pentoxifylline: Could it be a potential adjuvant therapy?	Dermatol Ther
32473068	Profile and quality of published reviews on COVID-19.	Eur J Clin Invest
32473051	Massive coronary thrombosis caused primary percutaneous coronary intervention to fail in a COVID-19 patient with ST-elevation myocardial infarction.	Catheter Cardiovasc Interv
32473049	Estimation of the Serial Interval and Basic Reproduction Number of COVID-19 in Qom, Iran, and Three Other Countries: A Data-Driven Analysis in the Early Phase of the Outbreak.	Transbound Emerg Dis
32473047	COVID 19 and Ethnicity: Spot light on the global rheumatology issues in developing and developed countries.	Int J Rheum Dis
32473043	Palliative psychodermatology care during COVID-19 pandemic.	Dermatol Ther
32473036	Control measures to prevent Coronavirus disease 2019 COVID-19pandemic in endoscopy centers: a multi-centre study.	Dig Endosc
32473029	Covido-pedago-phobia.	Med Educ
32473023	Playing the Cards We are Dealt: Covid-19 and Nursing Homes.	J Am Geriatr Soc
32473022	Coronavirus disease-2019 in pregnancy with neurological manifestations versus pregnancy with eclampsia: Need for liberal testing to rule out the masquerades.	Acta Obstet Gynecol Scand
32473021	Performance of SARS-CoV-2 antibody assays in different stages of the infection: Comparison of commercial ELISA and rapid tests.	J Infect Dis
32473020	Rationale of a loading dose initiation for hydroxychloroquine treatment in COVID-19 infection in the DisCoVeRy trial.	J Antimicrob Chemother
32473015	Managing burns during COVID-19 outbreak.	J Burn Care Res
32473012	Response to Malkovsky.	J Infect Dis
32473011	Potential inhibition of COVID-19-driven pneumonia by immunosuppressive therapy and anti-TNFalpha antibodies: a case report.	J Crohns Colitis
32473010	TPE-nAbs combination therapy for severe COVID-19.	J Infect Dis
32473009	Age-dependent gender differences of COVID-19 in mainland China: comparative study.	Clin Infect Dis
32473007	A Conceptual Discussion about R0 of SARS-COV-2 in Healthcare Settings.	Clin Infect Dis
32472994	ST-elevation myocardial infarction in the COVID-19 era.	Minerva Cardioangiol
32472991	2019 novel coronavirus: what is currently known, cardiovascular implications and management.	Minerva Cardioangiol
32472990	COVID-19 pandemic and cardiovascular disease: where do we stand?	Minerva Cardioangiol
32472989	Relationship between ACE-inhibitors, ARBs and SARS-CoV-2 infection: where are we?	Minerva Cardioangiol
32472974	COVID-19's Impact on Private Practice and Academic Dentistry in North America.	Oral Dis
32472948	Speeding tumor genotyping during the SARS-CoV-2 outbreak through liquid biopsy.	Cancer
32472939	Assessing the impact of non-pharmaceutical interventions on SARS-CoV-2 transmission in Switzerland.	Swiss Med Wkly
32472937	It's True Even in a Pandemic: Children are Not Merely Little Adults.	Clin Infect Dis
32472936	Maximum Daily Temperature, Precipitation, Ultra-Violet Light and Rates of Transmission of SARS-Cov-2 in the United States.	Clin Infect Dis
32472899	Craniofacial Surgeons in Different Settings Facing the COVID-19 Pandemic.	J Craniofac Surg
32472898	COVID-19 Pandemic and Otologic Surgery.	J Craniofac Surg
32472897	We Know About COVID-19: Oral and Maxillofacial Surgeons Survey.	J Craniofac Surg
32472827	First Successful Treatment of Coronavirus Disease 2019 Induced Refractory Cardiogenic Plus Vasoplegic Shock by Combination of Percutaneous Ventricular Assist Device and Extracorporeal Membrane Oxygenation: A Case Report.	ASAIO J
32472811	Psychosocial Reactions to Plagues in the Cultural History of Medicine: A Medical Humanities Approach.	J Nerv Ment Dis
32472810	Alone Together in Our Fear: Perspectives From the Early Days of Lockdown Due to COVID-19.	J Nerv Ment Dis
32472808	Continuing Professional Development in the Era of COVID-19.	J Contin Educ Health Prof
32472779	Food protein-derived antihypertensive peptides in the COVID-19 pandemic: friends of foes?	J Hypertens
32472775	Will the Current COVID-19 Pandemic Impact on Long-Term Cannabis Buying Practices?	J Addict Med
32472773	A COVID-19 Conundrum: Obstructive Sleep Apnea (OSA) and Non-Invasive Ventilation (NIV).	Anesth Analg
32472763	Comparative analysis of Coronaviridae nucleocapsid and surface glycoprotein sequences.	Front Biosci (Landmark Ed)
32472745	SARS-CoV-2 and human milk: What is the evidence?	Matern Child Nutr
32472706	The Long-Standing History of Corynebacterium Parvum, Immunity and Viruses.	J Med Virol
32472703	COVID-19 pneumonia treated with Sarilumab: a clinical series of eight patients.	J Med Virol
32472696	Domestic violence amid COVID-19.	Int J Gynaecol Obstet
32472688	Low prevalence of SARS-CoV-2 among pregnant and postpartum patients with universal screening in Seattle, Washington.	Clin Infect Dis
32472687	Impact of Public Health Interventions on Seasonal Influenza Activity During the SARS-CoV-2 Outbreak in Korea.	Clin Infect Dis
32472685	Ventilated Upper Airway Endoscopic Endonasal Procedure Mask: Surgical Safety in the COVID-19 Era.	Oper Neurosurg (Hagerstown)
32472684	Seroconversion rate and diagnostic accuracy of serological tests for COVID-19.	Clin Infect Dis
32472683	Detectable severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in human breast milk of a mildly symptomatic patient with coronavirus disease 2019 (COVID-19).	Clin Infect Dis
32472681	Why not to use colchicine in COVID-19? An old anti-inflammatory drug for a novel auto-inflammatory disease.	Rheumatology (Oxford)
32472679	Surgical mask partition reduces the risk of non-contact transmission in a golden Syrian hamster model for Coronavirus Disease 2019 (COVID-19).	Clin Infect Dis
32472676	Predictors for Severe COVID-19 Infection.	Clin Infect Dis
32472675	Clinical Outcomes of COVID-19 with Evidence-Based Supportive Care.	Clin Infect Dis
32472673	Cohort PCR Testing: A Strategic Method for Rapid SARS-CoV-2 Screening.	Am J Clin Pathol
32472672	What is the role of SARS-CoV-2 PCR testing in discontinuation of transmission-based precautions for COVID-19 patients?	Clin Infect Dis
32472664	Covid-19 and urology.	BJU Int
32472662	COVID-19 and diabetes: Is there enough evidence?	J Clin Hypertens (Greenwich)
32472655	Cytokine storm in COVID-19 and parthenolide: preclinical evidence.	Phytother Res
32472653	Cell-based therapy to reduce mortality from COVID-19: Systematic review and meta-analysis of human studies on acute respiratory distress syndrome.	Stem Cells Transl Med
32472642	MMWR summary: COVID-19 reports.	Am J Transplant
32472634	Increased Flare of Acne Caused by Long-Time Mask Wearing During COVID-19 Pandemic among General Population.	Dermatol Ther
32472601	Asymptomatic transmission of SARS-CoV-2 and implications for mass gatherings.	Influenza Other Respir Viruses
32472593	Cutaneous manifestations in COVID-19: a skin rash in a child.	Dermatol Ther
32472591	COVID-19: Shedding light on racial and health inequities in the United States.	J Clin Nurs
32472588	Increased sFLT1/PlGF ratio in COVID-19: a novel link to Angiotensin II-mediated endothelial dysfunction.	Am J Hematol
32472566	"COVID-Mask": an atypical livedoid manifestation of COVID-19 observed in a northern Italy hospital.	Dermatol Ther
32472562	Impact on colorectal cancer in COVID-19 pandemic.	Br J Surg
32472558	Xenotransplantation literature update, March/April 2020.	Xenotransplantation
32472517	So far so close: an insight into smart working and telehealth reorganization of a Language and Learning Disorders Service in Milan during COVID-19 pandemic.	Neurol Sci
32472516	Brainstem involvement and respiratory failure in COVID-19.	Neurol Sci
32472486	Americans' COVID-19 Stress, Coping, and Adherence to CDC Guidelines.	J Gen Intern Med
32472466	Rheumatology Care in the Face of COVID-19.	Rheumatol Ther
32472464	A manual reduction of hernia under analgesia/sedation (Taxis) in the acute inguinal hernia: a useful technique in COVID-19 times to reduce the need for emergency surgery-a literature review.	Hernia
32472461	COVID-19, chronic inflammatory rheumatic disease and anti-rheumatic treatments.	Clin Rheumatol
32472459	Treatment algorithm for COVID-19: a multidisciplinary point of view.	Clin Rheumatol
32472454	Challenges in early phase clinical trials for childhood cancer during the COVID-19 pandemic: a report from the new agents group of the Spanish Society of Paediatric Haematology and Oncology (SEHOP).	Clin Transl Oncol
32472408	COVID-19 Pandemic and Surgical Oncology: Preserving the Academic Mission.	Ann Surg Oncol
32472403	Perspectives from Italy during the COVID-19 pandemic: nationwide survey-based focus on minimally invasive HPB surgery.	Updates Surg
32472383	COVID-19 and parasitology.	Parasitol Res
32472377	Neurosurgeons and the fight with COVID-19: a position statement from the EANS Individual Membership Committee.	Acta Neurochir (Wien)
32472347	Compliance and Psychological Impact of Quarantine in Children and Adolescents due to Covid-19 Pandemic.	Indian J Pediatr
32472325	The role of a Coronavirus disease 2019 pharmacist: an Australian perspective.	Int J Clin Pharm
32472253	Changes of the patient management in dentistry during the pandemic caused by the SARS-Coronavirus 2-initial perspectives of a clinic of operative dentistry in Europe.	Clin Oral Investig
32472250	Survival strategy of urology department during the COVID-19 era.	Int Urol Nephrol
32472231	Preparing for the coming transnational cancer crisis amid the COVID-19 pandemic.	Cancer Causes Control
32472216	Cancer treatment during COVID-19 pandemic.	Med Oncol
32472202	Tele-ophthalmology amid COVID-19 pandemic-Hong Kong experience.	Graefes Arch Clin Exp Ophthalmol
32472197	Mental health at the age of coronavirus: time for change.	Soc Psychiatry Psychiatr Epidemiol
32472191	Phenotypic characteristics and prognosis of inpatients with COVID-19 and diabetes: the CORONADO study.	Diabetologia
32472140	The COVID-19 Pandemic: A Call to Action for Health Systems in Latin America to Strengthen Quality of Care.	Int J Qual Health Care
32472138	Clinical characteristics and outcomes in people living with HIV hospitalized for COVID-19.	Clin Infect Dis
32472126	Towards a better case fatality estimate for SARS-CoV-2 during the early phase of the United States outbreak.	Clin Infect Dis
32472069	Questions remain following first COVID-19 vaccine results.	Nat Biotechnol
32472043	Detection of air and surface contamination by SARS-CoV-2 in hospital rooms of infected patients.	Nat Commun
32472024	The COVID-19 infection: lessons from the Italian experience.	J Public Health Policy
32471960	COVID-19 and Congenital Heart Disease: Perspectives from a Resource-limited Setting.	Indian Pediatr
32471937	Children coronavirus dilemma.	Eur Respir J
32471936	Responding to SARS-CoV-2 in South Africa: What can we learn from drug-resistant tuberculosis?	Eur Respir J
32471930	Reconfiguring the scope and practice of regional anesthesia in a pandemic: the COVID-19 perspective.	Reg Anesth Pain Med
32471929	Coagulation concerns in patients with COVID-19 proposed for regional anesthesia.	Reg Anesth Pain Med
32471919	Expanding the definition of covid-19 deaths will show the true effect of the pandemic.	BMJ
32471903	Characteristics associated with hospitalisation for COVID-19 in people with rheumatic disease: data from the COVID-19 Global Rheumatology Alliance physician-reported registry.	Ann Rheum Dis
32471900	Response to: Correspondence regarding research letter to the editor by Mathian et al, 'Clinical course of coronavirus disease 2019 (COVID-19) in a series of 17 patients with systemic lupus under long-term treatment with hydroxychloroquine'' by Nikpour et al.	Ann Rheum Dis
32471899	Case series of acute arthritis during COVID-19 admission.	Ann Rheum Dis
32471898	Correspondence regarding research letter to the editor by Mathian et al, 'Clinical course of coronavirus disease 2019 (COVID-19) in a series of 17 patients with systemic lupus under long-term treatment with hydroxychloroquine'.	Ann Rheum Dis
32471896	Response to: 'Case series of acute arthritis in COVID-19 admission' by Lopez-Gonzalez et al.	Ann Rheum Dis
32471894	Performance of Abbott ID NOW COVID-19 rapid nucleic acid amplification test in nasopharyngeal swabs transported in viral media and dry nasal swabs, in a New York City academic institution.	J Clin Microbiol
32471893	Covid-19: the ethics of clinical research in quarantine.	BMJ
32471884	Characterization and clinical course of 1000 patients with coronavirus disease 2019 in New York: retrospective case series.	BMJ
32471876	Registries Offer Insights on COVID-19-Cancer Connection.	Cancer Discov
32471856	Introductions and early spread of SARS-CoV-2 in the New York City area.	Science
32471855	Rapid mobilisation of research in response to covid-19: a paradigm for the future.	BMJ
32471832	Covid-19: Doctors criticise Indian research agency for recommending hydroxychloroquine prophylaxis.	BMJ
32471831	Reply to Siniorakis et al., "COVID-19 Interference with Renin-Angiotensin System in the Context of Heart Failure".	mBio
32471830	Pandemic COVID-19 Joins History's Pandemic Legion.	mBio
32471829	Novel Immunoglobulin Domain Proteins Provide Insights into Evolution and Pathogenesis of SARS-CoV-2-Related Viruses.	mBio
32471825	Covid-19: ensuring equality of access to testing for ethnic minorities.	BMJ
32471823	Covid-19: Charities call for clear advice after "utter mess" of shielding texts.	BMJ
32471822	Covid-19: How does the NHS test and trace service work?	BMJ
32471817	Covid-19: Millions of women and children at risk as visits to essential services plummet.	BMJ
32471815	Epinephrine use in COVID-19: friend or foe?	Eur J Hosp Pharm
32471812	The role of palliative care in COVID-19.	Cleve Clin J Med
32471811	Covid-19: Two thirds of people contacted through tracing did not fully cooperate, pilot scheme finds.	BMJ
32471801	Diagnostic Tests for SARS-CoV-2: Implications in Head and Neck Oncology.	Oral Oncol
32471800	Gaucher disease and SARS-CoV-2 infection: Emerging management challenges.	Mol Genet Metab
32471794	Imported and locally transmitted mild SARS-CoV-2 pneumonia cases in Japan.	J Infect Chemother
32471783	Silent hypoxia: A harbinger of clinical deterioration in patients with COVID-19.	Am J Emerg Med
32471782	Features of COVID-19 post-infectious cytokine release syndrome in children presenting to the emergency department.	Am J Emerg Med
32471781	Critical medication shortages further dwindling hospital resources during COVID-19.	Am J Emerg Med
32471774	SARS-CoV-2: Naso-bronchial cytological correlations.	Am J Otolaryngol
32471766	Economic implications of the COVID-19 pandemic on the plastic surgery community.	J Plast Reconstr Aesthet Surg
32471765	Evolution of plastic surgery provision due to COVID-19 - The role of the 'Pandemic pack'.	J Plast Reconstr Aesthet Surg
32471746	[Neuro-ophthalmologic emergencies during this COVID-19 pandemic].	J Fr Ophtalmol
32471720	[Acute respiratory distress syndrome secondary to SARS-CoV-2 infection in an infant].	Rev Mal Respir
32471712	Treatment of ST-segment elevation myocardial infarction during COVID-19 pandemic.	Cardiovasc Revasc Med
32471707	[Suicidal behavior in light of COVID-19 outbreak: Clinical challenges and treatment perspectives].	Encephale
32471705	[Responsiveness and sustainability of psychiatric care in France during COVID-19 epidemic].	Encephale
32471704	Central Nervous System Involvement in COVID-19.	Arch Med Res
32471703	Laboratory Biomarkers Predicting COVID-19 Severity in the Emergency Room.	Arch Med Res
32471702	Defective Anti-oxidant System: An Aggravating Factor for COVID-19 Patients Outcome?	Arch Med Res
32471696	Consensus Guidelines for Interventional Cardiology Services Delivery During COVID-19 Pandemic in Australia and New Zealand.	Heart Lung Circ
